ProjectPseudonym	cocPresent_m0	cocPresent_m12	contributingGuidelines_m0	contributingGuidelines_m12
Project0				
Project2	true	true	true	true
Project10	false	false	false	false
Project13	.github	.github	docs	docs
Project14	false	false	false	false
Project15	false	true	false	false
Project16	true	true	true	true
Project18				
Project20	true	true	true	true
Project23	false	false	false	false
Project28	false	false	true	true
Project31	true	true	docs	docs
Project32	true	true	true	true
Project33	false	false	false	false
Project34	true	true	true	true
Project49	false	false	false	false
Project73	true	true	true	true
Project76	false	false	true	true
Project79	false	true	false	true
Project82	search	search	search	search
Project83	false	false	false	false
Project85	false	false	false	false
Project86	true	true	true	true
Project88	false	false	true	true
Project92	true	true	docs	docs
Project95	true	true	true	true
Project96	false	false	false	false
Project97	false	false	false	false
Project98	true	true	false	false
Project99	false	false	true	true
Project100	true	true	true	true
Project106	false	false	true	true
Project108	true	true	true	true
Project110	false	false	false	false
Project111	true	true	true	true
Project112	false	false	docs	docs
Project113	true	true	true	true
Project114	false	false	false	false
Project132	true	true	true	true
