ProjectPseudonym	activityStatus	activityStatus2	activityStatus3	activityStatus4	activityStatus5	activityStatus10	activityStatus9	activityStatus8	activityStatus7	activityStatus6
Project2	ACTIVATED									
Project10	ONGOING									
Project13	ACTIVATED									
Project14	ACTIVATED									
Project15	DECLINED									
Project16	ONGOING									
Project20	ACTIVATED									
Project22	ONGOING									
Project23	ACTIVATED									
Project28	ONGOING									
Project30	ONGOING	INACTIVE								
Project31	DECLINED									
Project32	ONGOING									
Project33	ACTIVATED									
Project34	ACTIVATED									
Project49	INACTIVE									
Project73	ONGOING									
Project74	ONGOING	INACTIVE								
Project76	ONGOING									
Project79	ONGOING	DECLINED	INACTIVE	INACTIVE	ONGOING	INACTIVE	ACTIVATED	INACTIVE	INACTIVE	INACTIVE
Project82	ONGOING									
Project85	ACTIVATED									
Project86	ONGOING	ONGOING	ONGOING	ONGOING	ONGOING					
Project88	ONGOING	ONGOING								
Project92	ONGOING									
Project95	ONGOING									
Project97	ONGOING									
Project98	ACTIVATED									
Project99	ONGOING									
Project100	DECLINED	INACTIVE								
Project106	ACTIVATED									
Project108	ONGOING	ONGOING	ACTIVATED	ONGOING	ONGOING					
Project109	ONGOING									
Project111	ONGOING									
Project112	INACTIVE									
Project113	ONGOING									
Project114	ONGOING	ONGOING	DECLINED							
Project132	ACTIVATED									
